0x3300.00  abs1_output
0x3301.00  abs2_output
0x3939.00  ABS_Mapped_Throttle
0x393A.00  ABS_Motor_RPM
0x35D5.00  ABS_Motor_RPM
0x393B.00  ABS_Throttle_Command
0x35EE.00  ABS_Throttle_Command
0x3896.00  AC_Pump_Enable_SpdM_Bit0
0x3095.00  Acc_FF_Build_Rate_SpdM
0x3096.00  Acc_FF_Release_Rate_SpdM
0x3017.00  Acc_FF_Sensitivity_SpdM
0x3843.00  Accel_Rate_SpdMx
0x3026.00  Accel_Rate_TrqM
0x307E.00  Accel_Release_Rate_SpdM
0x3028.00  Accel_Release_Rate_TrqM
0x359A.00  AmpHour
0x3596.00  AmpHrRegenFactor
0x3617.00  Analog1_Filter
0x3618.00  Analog1_Filtered
0x3204.00  Analog1_Input
0x3619.00  Analog2_Filter
0x361A.00  Analog2_Filtered
0x3205.00  Analog2_Input
0x321D.00  Analog_Output
0x3849.00  AntiSkid_Reference_Rate
0x3815.00  AntiSkid_Speed_Delta_Threshold
0x5F01.04  article_number
0x38A1.00  AutoChar_Max_Test_Current
0x38A0.00  AutoChar_Max_Test_Speed
0x386E.00  Back_Full_Restraint_Speed_TrqM
0x35BE.00  Base_Speed_Captured
0x380E.00  Batt_Kp_UV
0x359E.00  Battery_Current
0x393C.00  Battery_Current_Display
0x3173.00  BDI_Discharge_Time
0x3172.00  BDI_Empty_Volts_Per_Cell
0x3171.00  BDI_Full_Volts_Per_Cell
0x3308.00  BDI_Percentage
0x3174.00  BDI_Reset_Percent
0x3170.00  BDI_Reset_Volts_Per_Cell
0x321A.00  Brake_Command
0x305D.00  Brake_Current_Limit
0x300B.00  Brake_Deadband
0x3031.00  Brake_Filter
0x3837.00  Brake_Full_Creep_Cancel_TrqM
0x3078.00  Brake_Is_Set
0x300C.00  Brake_Map
0x300D.00  Brake_Max
0x300E.00  Brake_Offset
0x320D.00  Brake_Pot_Output
0x3848.00  Brake_Rate_SpdMx
0x3029.00  Brake_Rate_TrqM
0x3831.00  Brake_Release_Rate_TrqM
0x300F.00  Brake_Taper_Speed_TrqM
0x300A.00  Brake_Type
0x3201.00  Braking_Distance_Captured
0x346B.00  build_number
0x331E.00  can10_length
0x331F.00  can11_length
0x3320.00  can12_length
0x3321.00  can13_length
0x3322.00  can14_length
0x3323.00  can15_length
0x3315.00  can1_length
0x3316.00  can2_length
0x3317.00  can3_length
0x3318.00  can4_length
0x3319.00  can5_length
0x331A.00  can6_length
0x331B.00  can7_length
0x331C.00  can8_length
0x331D.00  can9_length
0x3142.00  can_baud_rate
0x3310.00  can_bus_on
0x332F.00  CAN_EE_Writes_Enabled
0x3311.00  can_error_status
0x3314.00  can_msg_recd
0x3313.00  can_msg_sent
0x3328.00  can_nmt_state
0x3145.00  can_node_id
0x3140.00  can_node_id_1
0x3141.00  can_node_id_2
0x3146.00  can_node_id_3
0x3147.00  can_node_id_4
0x1800.01  can_pdo_miso_1_cob_id_used
0x1A00.00  can_pdo_miso_1_length
0x1A00.01  can_pdo_miso_1_map_1
